Titlu,Living,Bucătărie,Dormitor matrimonial,Baie,Hol,Dormitor,Suprafață utilă,Balcon,Suprafață utilă totală,Suprafață construită,Bloc,Scara,Apt.,Etaj,Disponibilitate
Apartament 1 cameră Oxford tip 1,N/A,N/A,N/A,"4,50 mp","4,85 mp",N/A,N/A,N/A,"39,67 mp","47,06 mp",7,,16,Etaj 1,Rezervat
Apartament 1 cameră Oxford tip 1,N/A,N/A,N/A,"4,50 mp","4,85 mp",N/A,N/A,N/A,"39,67 mp","47,06 mp",7,,26,Etaj 1,Disponibil
Apartament 1 cameră Oxford tip 1,N/A,N/A,N/A,"4,50 mp","4,85 mp",N/A,N/A,N/A,"39,67 mp","47,06 mp",7,,31,Etaj 2,Rezervat
Apartament 1 cameră Oxford tip 1,N/A,N/A,N/A,"4,50 mp","4,85 mp",N/A,N/A,N/A,"39,67 mp","47,06 mp",7,,41,Etaj 2,Disponibil
Apartament 1 cameră Oxford tip 1,N/A,N/A,N/A,"4,50 mp","4,85 mp",N/A,N/A,N/A,"39,67 mp","47,06 mp",7,,46,Etaj 3,Disponibil
Apartament 1 cameră Oxford tip 1,N/A,N/A,N/A,"4,50 mp","4,85 mp",N/A,N/A,N/A,"39,67 mp","47,06 mp",7,,56,Etaj 3,Disponibil
Apartament 1 cameră Oxford tip 1,N/A,N/A,N/A,"4,50 mp","4,85 mp",N/A,N/A,N/A,"39,67 mp","47,06 mp",8,,16,Etaj 1,Disponibil
Apartament 1 cameră Oxford tip 1,N/A,N/A,N/A,"4,50 mp","4,85 mp",N/A,N/A,N/A,"39,67 mp","47,06 mp",8,,26,Etaj 1,Disponibil
Apartament 1 cameră Oxford tip 1,N/A,N/A,N/A,"4,50 mp","4,85 mp",N/A,N/A,N/A,"39,67 mp","47,06 mp",8,,31,Etaj 2,Disponibil
Apartament 1 cameră Oxford tip 1,N/A,N/A,N/A,"4,50 mp","4,85 mp",N/A,N/A,N/A,"39,67 mp","47,06 mp",8,,41,Etaj 2,Disponibil
Apartament 1 cameră Oxford tip 1,N/A,N/A,N/A,"4,50 mp","4,85 mp",N/A,N/A,N/A,"39,67 mp","47,06 mp",8,,46,Etaj 3,Disponibil
Apartament 1 cameră Oxford tip 1,N/A,N/A,N/A,"4,50 mp","4,85 mp",N/A,N/A,N/A,"39,67 mp","47,06 mp",8,,56,Etaj 3,Disponibil
Apartament 1 cameră Oxford tip 1,N/A,N/A,N/A,"4,50 mp","4,85 mp",N/A,N/A,N/A,"39,67 mp","47,06 mp",9,,16,Etaj 1,Disponibil
Apartament 1 cameră Oxford tip 1,N/A,N/A,N/A,"4,50 mp","4,85 mp",N/A,N/A,N/A,"39,67 mp","47,06 mp",9,,26,Etaj 1,Disponibil
Apartament 1 cameră Oxford tip 1,N/A,N/A,N/A,"4,50 mp","4,85 mp",N/A,N/A,N/A,"39,67 mp","47,06 mp",9,,31,Etaj 2,Disponibil
Apartament 1 cameră Oxford tip 1,N/A,N/A,N/A,"4,50 mp","4,85 mp",N/A,N/A,N/A,"39,67 mp","47,06 mp",9,,41,Etaj 2,Disponibil
Apartament 1 cameră Oxford tip 1,N/A,N/A,N/A,"4,50 mp","4,85 mp",N/A,N/A,N/A,"39,67 mp","47,06 mp",9,,46,Etaj 3,Disponibil
Apartament 1 cameră Oxford tip 1,N/A,N/A,N/A,"4,50 mp","4,85 mp",N/A,N/A,N/A,"39,67 mp","47,06 mp",9,,56,Etaj 3,Disponibil
Apartament 1 cameră Oxford tip 1,N/A,N/A,N/A,"4,50 mp","4,85 mp",N/A,N/A,N/A,"39,67 mp","47,06 mp",10,,16,Etaj 1,Disponibil
Apartament 1 cameră Oxford tip 1,N/A,N/A,N/A,"4,50 mp","4,85 mp",N/A,N/A,N/A,"39,67 mp","47,06 mp",10,,26,Etaj 1,Disponibil
Apartament 1 cameră Oxford tip 1,N/A,N/A,N/A,"4,50 mp","4,85 mp",N/A,N/A,N/A,"39,67 mp","47,06 mp",10,,31,Etaj 2,Disponibil
Apartament 1 cameră Oxford tip 1,N/A,N/A,N/A,"4,50 mp","4,85 mp",N/A,N/A,N/A,"39,67 mp","47,06 mp",10,,41,Etaj 2,Disponibil
Apartament 1 cameră Oxford tip 1,N/A,N/A,N/A,"4,50 mp","4,85 mp",N/A,N/A,N/A,"39,67 mp","47,06 mp",10,,46,Etaj 3,Disponibil
Apartament 1 cameră Oxford tip 1,N/A,N/A,N/A,"4,50 mp","4,85 mp",N/A,N/A,N/A,"39,67 mp","47,06 mp",10,,56,Etaj 3,Disponibil
Apartament 1 cameră Oxford tip 1,N/A,N/A,N/A,"4,50 mp","4,85 mp",N/A,N/A,N/A,"39,67 mp","47,06 mp",11,,16,Etaj 1,Disponibil
Apartament 1 cameră Oxford tip 1,N/A,N/A,N/A,"4,50 mp","4,85 mp",N/A,N/A,N/A,"39,67 mp","47,06 mp",11,,26,Etaj 1,Disponibil
Apartament 1 cameră Oxford tip 1,N/A,N/A,N/A,"4,50 mp","4,85 mp",N/A,N/A,N/A,"39,67 mp","47,06 mp",11,,31,Etaj 2,Disponibil
Apartament 1 cameră Oxford tip 1,N/A,N/A,N/A,"4,50 mp","4,85 mp",N/A,N/A,N/A,"39,67 mp","47,06 mp",11,,41,Etaj 2,Disponibil
Apartament 1 cameră Oxford tip 1,N/A,N/A,N/A,"4,50 mp","4,85 mp",N/A,N/A,N/A,"39,67 mp","47,06 mp",11,,46,Etaj 3,Disponibil
Apartament 1 cameră Oxford tip 1,N/A,N/A,N/A,"4,50 mp","4,85 mp",N/A,N/A,N/A,"39,67 mp","47,06 mp",11,,56,Etaj 3,Disponibil
Apartament 1 cameră Oxford tip 1,N/A,N/A,N/A,"4,50 mp","4,85 mp",N/A,N/A,N/A,"39,67 mp","47,06 mp",12,,16,Etaj 1,Disponibil
Apartament 1 cameră Oxford tip 1,N/A,N/A,N/A,"4,50 mp","4,85 mp",N/A,N/A,N/A,"39,67 mp","47,06 mp",12,,26,Etaj 1,Disponibil
Apartament 1 cameră Oxford tip 1,N/A,N/A,N/A,"4,50 mp","4,85 mp",N/A,N/A,N/A,"39,67 mp","47,06 mp",12,,31,Etaj 2,Disponibil
Apartament 1 cameră Oxford tip 1,N/A,N/A,N/A,"4,50 mp","4,85 mp",N/A,N/A,N/A,"39,67 mp","47,06 mp",12,,41,Etaj 2,Disponibil
Apartament 1 cameră Oxford tip 1,N/A,N/A,N/A,"4,50 mp","4,85 mp",N/A,N/A,N/A,"39,67 mp","47,06 mp",12,,46,Etaj 3,Disponibil
Apartament 1 cameră Oxford tip 1,N/A,N/A,N/A,"4,50 mp","4,85 mp",N/A,N/A,N/A,"39,67 mp","47,06 mp",12,,56,Etaj 3,Disponibil
Apartament 1 cameră Oxford tip 2,N/A,"9,15 mp",N/A,"4,90 mp","3,33 mp",N/A,"43,92 mp","5,58 mp","49,50 mp","53,34 mp",7,,21,Etaj 1,Disponibil
Apartament 1 cameră Oxford tip 2,N/A,"9,15 mp",N/A,"4,90 mp","3,33 mp",N/A,"43,92 mp","5,58 mp","49,50 mp","53,34 mp",7,,36,Etaj 2,Disponibil
