title,complex,address,price,price_per_mp,rooms,square_footage,floor_no,bathrooms,bedrooms
Adora Central – schița apartament cu 2 camere apartament camere de la 60.03m2 - Korter.ro,Adora Central,"Bd.Augustin Doinas, Arad(corp A)",0,0,2,60.032,0,0,0
Red 9 – schița apartament cu 1 camere apartament camere de la 57.99m2 - Korter.ro,Red 9,"str.Roșiorilor, 22, Arad(Bloc R 35)",0,0,1,57.992,0,0,0
Adora Park – schița apartament cu 2 camere apartament camere de la 55.75m2 - Korter.ro,Adora Park,"str.Cocorilor, 48a(Bloc 4)",74500,1336,2,55.752,0,0,0
Adora Park – schița apartament cu 2 camere apartament camere de la 54.13m2 - Korter.ro,Adora Park,"str.Cocorilor, 48A, zona Șega, Arad",72500,1339,2,54.132,0,0,0
Red 9 – schița apartament cu 3 camere apartament camere de la 103.71m2 - Korter.ro,Red 9,"str.Roșiorilor, 22, Arad(Bloc R34)",0,0,3,103.712,0,0,0
Adora Central – schița apartament cu 3 camere apartament camere de la 80.55m2 - Korter.ro,Adora Central,"Bd.Augustin Doinas, Arad(corp B)",0,0,3,80.552,0,0,0
Red 9 – schița apartament cu 1 camere apartament camere de la 65.28m2 - Korter.ro,Red 9,"str.Roșiorilor, 22, Arad(Bloc R 35)",0,0,1,65.282,0,0,0
Adora Park – schița apartament cu Penthouse camere de la 45.06m2 - Korter.ro,Adora Park,"str.Cocorilor, 48a(Bloc 3)",0,0,0,45.062,0,0,0
Adora Central – schița apartament cu 2 camere apartament camere de la 61.8m2 - Korter.ro,Adora Central,"Bd.Augustin Doinas, Arad(corp A)",0,0,2,61.82,0,0,0
Westfield – schița apartament cu 3 camere apartament camere de la 81.0m2 - Korter.ro,Westfield,"bd.Westfield, 1, Arad(Suites)",0,0,3,812,0,0,0
Red 9 – schița apartament cu 3 camere apartament camere de la 120.49m2 - Korter.ro,Red 9,"str.Roșiorilor, 22, Arad(Bloc R34)",0,0,3,120.492,0,0,0
Adora Central – schița apartament cu 3 camere apartament camere de la 132.9m2 - Korter.ro,Adora Central,"Bd.Augustin Doinas, Arad(corp B)",0,0,3,132.92,0,0,0
Adora Park – schița apartament cu 2 camere apartament camere de la 60.54m2 - Korter.ro,Adora Park,"str.Cocorilor, 48a(Bloc 4)",89900,1485,2,60.542,0,0,0
Adora Park – schița apartament cu Penthouse camere de la 94.33m2 - Korter.ro,Adora Park,"str.Cocorilor, 48a(Bloc 3)",0,0,0,94.332,0,0,0
Red 9 – schița apartament cu 2 camere apartament camere de la 78.48m2 - Korter.ro,Red 9,"str.Roșiorilor, 22, Arad(Bloc R34)",0,0,2,78.482,0,0,0
Adora Park – schița apartament cu Penthouse camere de la 97.28m2 - Korter.ro,Adora Park,"str.Cocorilor, 48a(Bloc 3)",0,0,0,97.282,0,0,0
Adora Central – schița apartament cu 4 camere apartament camere de la 132.9m2 - Korter.ro,Adora Central,"Bd.Augustin Doinas, Arad(corp B)",0,0,4,132.92,0,0,0
Adora Park – schița apartament cu 3 camere apartament camere de la 72.69m2 - Korter.ro,Adora Park,"str.Cocorilor, 48a(Bloc 4)",0,0,3,72.692,0,0,0
Red 9 – schița apartament cu 3 camere apartament camere de la 133.21m2 - Korter.ro,Red 9,"str.Roșiorilor, 22, Arad(Bloc R 35)",0,0,3,133.212,0,0,0
Red 9 – schița apartament cu 4 camere apartament camere de la 146.6m2 - Korter.ro,Red 9,"str.Roșiorilor, 22, Arad(Bloc R 35)",0,0,4,146.62,0,0,0
Westfield – schița apartament cu 1 camere apartament camere de la 46.0m2 - Korter.ro,Westfield,"bd.Westfield, 1, Arad(Suites)",0,0,1,462,0,0,0
Adora Central – schița apartament cu 3 camere apartament camere de la 93.6m2 - Korter.ro,Adora Central,"Bd.Augustin Doinas, Arad(corp A)",0,0,3,93.62,0,0,0
Red 9 – schița apartament cu 2 camere apartament camere de la 78.47m2 - Korter.ro,Red 9,"str.Roșiorilor, 22, Arad(Bloc R34)",0,0,2,78.472,0,0,0
Adora Central – schița apartament cu 3 camere apartament camere de la 95.9m2 - Korter.ro,Adora Central,"Bd.Augustin Doinas, Arad(corp A)",0,0,3,95.92,0,0,0
Red 9 – schița apartament cu 3 camere apartament camere de la 119.05m2 - Korter.ro,Red 9,"str.Roșiorilor, 22, Arad(Bloc R 35)",0,0,3,119.052,0,0,0
Adora Park – schița apartament cu 3 camere apartament camere de la 90.73m2 - Korter.ro,Adora Park,"str.Cocorilor, 48a(Bloc 4)",0,0,3,90.732,0,0,0
Red 9 – schița apartament cu 2 camere apartament camere de la 106.84m2 - Korter.ro,Red 9,"str.Roșiorilor, 22, Arad(Bloc R 35)",0,0,2,106.842,0,0,0
Westfield – schița apartament cu 2 camere apartament camere de la 53.0m2 - Korter.ro,Westfield,"bd.Westfield, 1, Arad(Suites)",0,0,2,532,0,0,0
Adora Central – schița apartament cu 4 camere apartament camere de la 156.4m2 - Korter.ro,Adora Central,"Bd.Augustin Doinas, Arad(corp A)",0,0,4,156.42,0,0,0
Red 9 – schița apartament cu 2 camere apartament camere de la 87.34m2 - Korter.ro,Red 9,"str.Roșiorilor, 22, Arad(Bloc R34)",0,0,2,87.342,0,0,0
Red 9 – schița apartament cu 1 camere apartament camere de la 65.22m2 - Korter.ro,Red 9,"str.Roșiorilor, 22, Arad(Bloc R 35)",0,0,1,65.222,0,0,0
Adora Park – schița apartament cu Penthouse camere de la 45.61m2 - Korter.ro,Adora Park,"str.Cocorilor, 48a(Bloc 3)",0,0,0,45.612,0,0,0
