title,complex,address,price,price_per_mp,rooms,square_footage,floor_no,bathrooms,bedrooms
Encore Apartments – schița apartament cu 2 camere apartament camere de la 52.5m2 - Korter.ro,Encore Apartments,"str.Alunului, 90, Bragadiru, Ilfov(imobil)",52500,1000,2,52.52,0,0,0
ADM Rezidential – schița apartament cu 2 camere apartament camere de la 46.0m2 - Korter.ro,ADM Rezidential,"str.Neamului, Bragadiru(Bloc 3)",0,0,2,462,0,0,0
Encore Apartments – schița apartament cu Garsonieră camere de la 41.4m2 - Korter.ro,Encore Apartments,"str.Alunului, 90, Bragadiru, Ilfov(imobil)",41999,1014,0,41.42,0,0,0
ADM Rezidential – schița apartament cu 3 camere apartament camere de la 89.0m2 - Korter.ro,ADM Rezidential,"str.Neamului, Bragadiru(Bloc 3)",0,0,3,892,0,0,0
99D Residence – schița apartament cu 2 camere apartament camere de la 61.9m2 - Korter.ro,99D Residence,"str.Smârdan, Bragadiru, Ilfov(Bloc 2)",76000,1228,2,61.92,0,0,0
Spazio Residence – schița apartament cu 3 camere apartament camere de la 95.2m2 - Korter.ro,Spazio Residence,"str.Diamantului / str.Safirului, Bragadiru, Ilfov",0,0,3,95.22,0,0,0
99D Residence – schița apartament cu 2 camere apartament camere de la 62.95m2 - Korter.ro,99D Residence,"str.Smârdan, Bragadiru, Ilfov(Bloc 2)",78000,1239,2,62.952,0,0,0
ADM Rezidential – schița apartament cu 2 camere apartament camere de la 42.7m2 - Korter.ro,ADM Rezidential,"str.Neamului, Bragadiru(Bloc 3)",0,0,2,42.72,0,0,0
ADM Rezidential – schița apartament cu 2 camere apartament camere de la 63.9m2 - Korter.ro,ADM Rezidential,"str.Neamului, Bragadiru(Bloc 4)",0,0,2,63.92,0,0,0
ADM Rezidential – schița apartament cu 2 camere apartament camere de la 39.4m2 - Korter.ro,ADM Rezidential,"str.Neamului, Bragadiru(Bloc 3)",0,0,2,39.42,0,0,0
Spazio Residence – schița apartament cu 2 camere apartament camere de la 60.95m2 - Korter.ro,Spazio Residence,"str.Diamantului / str.Safirului, Bragadiru, Ilfov",0,0,2,60.952,0,0,0
Spazio Residence – schița apartament cu 2 camere apartament camere de la 55.35m2 - Korter.ro,Spazio Residence,"str.Diamantului / str.Safirului, Bragadiru, Ilfov",0,0,2,55.352,0,0,0
99D Residence – schița apartament cu 2 camere apartament camere de la 51.15m2 - Korter.ro,99D Residence,"str.Smârdan, Bragadiru, Ilfov(Bloc 3)",61000,1193,2,51.152,0,0,0
99D Residence – schița apartament cu 2 camere apartament camere de la 63.95m2 - Korter.ro,99D Residence,"str.Smârdan, Bragadiru, Ilfov(Bloc 2)",80000,1251,2,63.952,0,0,0
ADM Rezidential – schița apartament cu 2 camere apartament camere de la 51.0m2 - Korter.ro,ADM Rezidential,"str.Neamului, Bragadiru(Bloc 3)",0,0,2,512,0,0,0
ADM Rezidential – schița apartament cu 2 camere apartament camere de la 44.7m2 - Korter.ro,ADM Rezidential,"str.Neamului, Bragadiru(Bloc 4)",0,0,2,44.72,0,0,0
Spazio Residence – schița apartament cu 2 camere apartament camere de la 62.95m2 - Korter.ro,Spazio Residence,"str.Diamantului / str.Safirului, Bragadiru, Ilfov",0,0,2,62.952,0,0,0
ADM Rezidential – schița apartament cu 2 camere apartament camere de la 56.5m2 - Korter.ro,ADM Rezidential,"str.Neamului, Bragadiru(Bloc 3)",0,0,2,56.52,0,0,0
ADM Rezidential – schița apartament cu 3 camere apartament camere de la 82.6m2 - Korter.ro,ADM Rezidential,"str.Neamului, Bragadiru(Bloc 3)",0,0,3,82.62,0,0,0
Encore Apartments – schița apartament cu 2 camere apartament camere de la 59.9m2 - Korter.ro,Encore Apartments,"str.Alunului, 90, Bragadiru, Ilfov(imobil)",60999,1018,2,59.92,0,0,0
ADM Rezidential – schița apartament cu 3 camere apartament camere de la 89.0m2 - Korter.ro,ADM Rezidential,"str.Neamului, Bragadiru(Bloc 4)",0,0,3,892,0,0,0
ADM Rezidential – schița apartament cu 2 camere apartament camere de la 43.2m2 - Korter.ro,ADM Rezidential,"str.Neamului, Bragadiru(Bloc 3)",0,0,2,43.22,0,0,0
Spazio Residence – schița apartament cu 3 camere apartament camere de la 84.0m2 - Korter.ro,Spazio Residence,"str.Diamantului / str.Safirului, Bragadiru, Ilfov",0,0,3,842,0,0,0
ADM Rezidential – schița apartament cu 2 camere apartament camere de la 43.1m2 - Korter.ro,ADM Rezidential,"str.Neamului, Bragadiru(Bloc 3)",0,0,2,43.12,0,0,0
99D Residence – schița apartament cu 2 camere apartament camere de la 50.25m2 - Korter.ro,99D Residence,"str.Smârdan, Bragadiru, Ilfov(Bloc 3)",61000,1214,2,50.252,0,0,0
Spazio Residence – schița apartament cu 3 camere apartament camere de la 84.9m2 - Korter.ro,Spazio Residence,"str.Diamantului / str.Safirului, Bragadiru, Ilfov",0,0,3,84.92,0,0,0
Encore Apartments – schița apartament cu 2 camere apartament camere de la 61.2m2 - Korter.ro,Encore Apartments,"str.Alunului, 90, Bragadiru, Ilfov(imobil)",62499,1021,2,61.22,0,0,0
Spazio Residence – schița apartament cu 2 camere apartament camere de la 64.05m2 - Korter.ro,Spazio Residence,"str.Diamantului / str.Safirului, Bragadiru, Ilfov",0,0,2,64.052,0,0,0
ADM Rezidential – schița apartament cu 2 camere apartament camere de la 57.8m2 - Korter.ro,ADM Rezidential,"str.Neamului, Bragadiru(Bloc 4)",0,0,2,57.82,0,0,0
ADM Rezidential – schița apartament cu 3 camere apartament camere de la 90.6m2 - Korter.ro,ADM Rezidential,"str.Neamului, Bragadiru(Bloc 3)",0,0,3,90.62,0,0,0
Spazio Residence – schița apartament cu 3 camere apartament camere de la 73.4m2 - Korter.ro,Spazio Residence,"str.Diamantului / str.Safirului, Bragadiru, Ilfov",0,0,3,73.42,0,0,0
99D Residence – schița apartament cu 2 camere apartament camere de la 53.0m2 - Korter.ro,99D Residence,"str.Smârdan, Bragadiru, Ilfov(Bloc 3)",63000,1189,2,532,0,0,0
ADM Rezidential – schița apartament cu 1 camere apartament camere de la 44.4m2 - Korter.ro,ADM Rezidential,"str.Neamului, Bragadiru(Bloc 4)",0,0,1,44.42,0,0,0
Spazio Residence – schița apartament cu 3 camere apartament camere de la 86.65m2 - Korter.ro,Spazio Residence,"str.Diamantului / str.Safirului, Bragadiru, Ilfov",0,0,3,86.652,0,0,0
ADM Rezidential – schița apartament cu 3 camere apartament camere de la 66.0m2 - Korter.ro,ADM Rezidential,"str.Neamului, Bragadiru(Bloc 4)",0,0,3,662,0,0,0
Spazio Residence – schița apartament cu 3 camere apartament camere de la 85.5m2 - Korter.ro,Spazio Residence,"str.Diamantului / str.Safirului, Bragadiru, Ilfov",0,0,3,85.52,0,0,0
ADM Rezidential – schița apartament cu 1 camere apartament camere de la 34.8m2 - Korter.ro,ADM Rezidential,"str.Neamului, Bragadiru(Bloc 3)",0,0,1,34.82,0,0,0
ADM Rezidential – schița apartament cu 2 camere apartament camere de la 61.5m2 - Korter.ro,ADM Rezidential,"str.Neamului, Bragadiru(Bloc 3)",0,0,2,61.52,0,0,0
Spazio Residence – schița apartament cu 2 camere apartament camere de la 66.8m2 - Korter.ro,Spazio Residence,"str.Diamantului / str.Safirului, Bragadiru, Ilfov",0,0,2,66.82,0,0,0
Spazio Residence – schița apartament cu 2 camere apartament camere de la 64.95m2 - Korter.ro,Spazio Residence,"str.Diamantului / str.Safirului, Bragadiru, Ilfov",0,0,2,64.952,0,0,0
Encore Apartments – schița apartament cu 3 camere apartament camere de la 71.9m2 - Korter.ro,Encore Apartments,"str.Alunului, 90, Bragadiru, Ilfov(imobil)",83700,1164,3,71.92,0,0,0
ADM Rezidential – schița apartament cu 1 camere apartament camere de la 36.5m2 - Korter.ro,ADM Rezidential,"str.Neamului, Bragadiru(Bloc 4)",0,0,1,36.52,0,0,0
ADM Rezidential – schița apartament cu 1 camere apartament camere de la 36.5m2 - Korter.ro,ADM Rezidential,"str.Neamului, Bragadiru(Bloc 3)",0,0,1,36.52,0,0,0
Spazio Residence – schița apartament cu 3 camere apartament camere de la 90.2m2 - Korter.ro,Spazio Residence,"str.Diamantului / str.Safirului, Bragadiru, Ilfov",0,0,3,90.22,0,0,0
ADM Rezidential – schița apartament cu 2 camere apartament camere de la 62.5m2 - Korter.ro,ADM Rezidential,"str.Neamului, Bragadiru(Bloc 4)",0,0,2,62.52,0,0,0
Spazio Residence – schița apartament cu 3 camere apartament camere de la 85.4m2 - Korter.ro,Spazio Residence,"str.Diamantului / str.Safirului, Bragadiru, Ilfov",0,0,3,85.42,0,0,0
Spazio Residence – schița apartament cu 2 camere apartament camere de la 65.75m2 - Korter.ro,Spazio Residence,"str.Diamantului / str.Safirului, Bragadiru, Ilfov",0,0,2,65.752,0,0,0
Encore Apartments – schița apartament cu 3 camere apartament camere de la 89.6m2 - Korter.ro,Encore Apartments,"str.Alunului, 90, Bragadiru, Ilfov(imobil)",102499,1144,3,89.62,0,0,0
Spazio Residence – schița apartament cu 2 camere apartament camere de la 56.45m2 - Korter.ro,Spazio Residence,"str.Diamantului / str.Safirului, Bragadiru, Ilfov",0,0,2,56.452,0,0,0
ADM Rezidential – schița apartament cu 1 camere apartament camere de la 37.0m2 - Korter.ro,ADM Rezidential,"str.Neamului, Bragadiru(Bloc 3)",0,0,1,372,0,0,0
Spazio Residence – schița apartament cu 3 camere apartament camere de la 83.0m2 - Korter.ro,Spazio Residence,"str.Diamantului / str.Safirului, Bragadiru, Ilfov",0,0,3,832,0,0,0
Spazio Residence – schița apartament cu 3 camere apartament camere de la 91.6m2 - Korter.ro,Spazio Residence,"str.Diamantului / str.Safirului, Bragadiru, Ilfov",0,0,3,91.62,0,0,0
