title,complex,address,price,price_per_mp,rooms,square_footage,floor_no,bathrooms,bedrooms
ONE66 – schița apartament cu 1 camere apartament camere de la 37.39m2 - Korter.ro,ONE66,"str.Mihai Viteazul, 166(Bloc 1)",99500,2661,1,37.392,0,0,0
Green Residence – schița apartament cu 2 camere apartament camere de la 55.43m2 - Korter.ro,Green Residence,"str.Drumul cu Plopi, 114-116, zona Sânpetru, Brașov(Vila 48)",0,0,2,55.432,0,0,0
Coresi Avantgerden – schița apartament cu Studio camere de la 52.29m2 - Korter.ro,Coresi Avantgerden,"str.Zaharia Stancu, 1(Bloc 43)",0,0,0,52.292,0,0,0
Dynamic Residence 2 – schița apartament cu 1 camere apartament camere de la 43.0m2 - Korter.ro,Dynamic Residence 2,"str.Stefan Baciu, Brașov(Bloc 2)",76800,1786,1,432,0,0,0
Radsor Residence – schița apartament cu 2 camere apartament camere de la 60.0m2 - Korter.ro,Radsor Residence,"str.Calea Brașovului, Râșnov, zona Sud, Brașov(C1)",72078,1201,2,602,0,0,0
Cosmopolit Cantacuzino – schița apartament cu 3 camere apartament camere de la 132.19m2 - Korter.ro,Cosmopolit Cantacuzino,"str.Dr.Ion Cantacuzino, 22, Brașov(Bloc B)",248388,1879,3,132.192,"ETAJ CONTRACTATSiguranță în achiziționarea apartamentuluiPosibilitatea de a urmări îndeaproape lucrările la apartamentul dumneavoastrăPosibilitatea achitării restului de plată in faza finală a proiectului, permițând o mai buna gestionare a bugetului familieiPrețul este cu 5",0,0
Rainbow by Casa Nobel – schița apartament cu 3 camere apartament camere de la 72.24m2 - Korter.ro,Rainbow by Casa Nobel,"str.Nicolae Labiș, 86, Brașov(G1)",121000,1675,3,72.242,0,0,0
Mountain View Residence – schița apartament cu 3 camere apartament camere de la 74.52m2 - Korter.ro,Mountain View Residence,"str.Calea Feldioarei, 32A, Brașov(Bloc 4)",122000,1637,3,74.522,0,0,0
Cosmopolit Cantacuzino – schița apartament cu 4 camere apartament camere de la 186.31m2 - Korter.ro,Cosmopolit Cantacuzino,"str.Dr.Ion Cantacuzino, 22, Brașov(Bloc B)",332370,1784,4,186.312,"ETAJ CONTRACTATSiguranță în achiziționarea apartamentuluiPosibilitatea de a urmări îndeaproape lucrările la apartamentul dumneavoastrăPosibilitatea achitării restului de plată in faza finală a proiectului, permițând o mai buna gestionare a bugetului familieiPrețul este cu 5",0,0
Transilvania Residence – schița apartament cu 2 camere apartament camere de la 60.31m2 - Korter.ro,Transilvania Residence,"str.Nucului, 48, Brașov(Tronson 2)",105000,1741,2,60.312,0,0,0
Avantgarden 3 – schița apartament cu 2 camere apartament camere de la 52.0m2 - Korter.ro,Avantgarden 3,"str.Pelicanului, 5, Brașov(Bloc B93)",81900,1575,2,522,0,0,0
Uno Brașov – schița apartament cu 1 camere apartament camere de la 45.0m2 - Korter.ro,Uno Brașov,"str.Piatra Arsă, 1, Brașov(Bloc 6)",74860,1664,1,452,0,0,0
Transilvania Residence – schița apartament cu 3 camere apartament camere de la 145.19m2 - Korter.ro,Transilvania Residence,"str.Nucului, 48, Brașov(Tronson 3)",272000,1873,3,145.192,0,0,0
Alphaville Arena – schița apartament cu 1 camere apartament camere de la 47.54m2 - Korter.ro,Alphaville Arena,"str.Stadionului, 16(Bloc 3)",84546,1778,1,47.542,0,0,0
Maurer Villas – schița apartament cu Garsonieră camere de la 38.7m2 - Korter.ro,Maurer Villas,"str.Ioan Popasu, 2, Brașov(Bloc V18)",72500,1873,2,38.72,0,0,0
Maurer Villas – schița apartament cu 2 camere apartament camere de la 53.8m2 - Korter.ro,Maurer Villas,"str.Ioan Popasu, 2, Brașov(Bloc V17)",96400,1792,2,53.82,0,0,0
Radsor Residence – schița apartament cu 2 camere apartament camere de la 60.0m2 - Korter.ro,Radsor Residence,"str.Calea Brașovului, Râșnov, zona Sud, Brașov(C3)",76544,1276,2,602,0,0,0
Victory by Casa Nobel – schița apartament cu 2 camere apartament camere de la 53.8m2 - Korter.ro,Victory by Casa Nobel,"str.Nicolae Labiș, 33, Brașov(V6)",94000,1747,2,53.82,0,0,0
Uno Brașov – schița apartament cu 1 camere apartament camere de la 45.0m2 - Korter.ro,Uno Brașov,"str.Piatra Arsă, 1, Brașov(Bloc 5)",74860,1664,1,452,0,0,0
Top City – schița apartament cu Garsonieră camere de la 44.86m2 - Korter.ro,Top City,"str.Ștefan Baciu, 42-56, zona Tractorul, Brașov(B3-4)",69900,1558,0,44.862,0,0,0
Sunnyville Plus – schița apartament cu 2 camere apartament camere de la 69.13m2 - Korter.ro,Sunnyville Plus,"str.Carpatilor, nr 24, Brasov(Bloc 1)",109198,1580,2,69.132,0,0,0
Cosmopolit Cantacuzino – schița apartament cu 3 camere apartament camere de la 136.65m2 - Korter.ro,Cosmopolit Cantacuzino,"str.Dr.Ion Cantacuzino, 22, Brașov(Bloc B)",224939,1646,3,136.652,"ETAJ CONTRACTATSiguranță în achiziționarea apartamentuluiPosibilitatea de a urmări îndeaproape lucrările la apartamentul dumneavoastrăPosibilitatea achitării restului de plată in faza finală a proiectului, permițând o mai buna gestionare a bugetului familieiPrețul este cu 5",0,0
ONE66 – schița apartament cu 3 camere apartament camere de la 98.76m2 - Korter.ro,ONE66,"str.Mihai Viteazul, 166(Bloc 1)",219000,2217,3,98.762,0,0,0
Green Residence – schița apartament cu 2 camere apartament camere de la 56.2m2 - Korter.ro,Green Residence,"str.Drumul cu Plopi, 114-116, zona Sânpetru, Brașov(Vila 48)",0,0,2,56.22,0,0,0
Avantgarden 3 – schița apartament cu Garsonieră camere de la 38.27m2 - Korter.ro,Avantgarden 3,"str.Pelicanului, 5, Brașov(Bloc B90)",60700,1586,0,38.272,0,0,0
Uno Brașov – schița apartament cu 1 camere apartament camere de la 45.0m2 - Korter.ro,Uno Brașov,"str.Piatra Arsă, 1, Brașov(Bloc 6)",76941,1710,1,452,0,0,0
Mosaic Residence – schița apartament cu 2 camere apartament camere de la 52.32m2 - Korter.ro,Mosaic Residence,"str.Nicolae Labiș, 62, Brașov(Bloc 3)",86667,1656,2,52.322,0,0,0
Cosmopolit Cantacuzino – schița apartament cu 2 camere apartament camere de la 95.71m2 - Korter.ro,Cosmopolit Cantacuzino,"str.Dr.Ion Cantacuzino, 22, Brașov(Bloc A)",157500,1646,2,95.712,"ETAJ CONTRACTATSiguranță în achiziționarea apartamentuluiPosibilitatea de a urmări îndeaproape lucrările la apartamentul dumneavoastrăPosibilitatea achitării restului de plată in faza finală a proiectului, permițând o mai buna gestionare a bugetului familieiPrețul este cu 5",0,0
Green Residence – schița apartament cu 1 camere apartament camere de la 36.29m2 - Korter.ro,Green Residence,"str.Drumul cu Plopi, Brașov(Green Residence 4)",62180,1713,1,36.292,0,0,0
Top City – schița apartament cu Studio camere de la 52.19m2 - Korter.ro,Top City,"str.Ștefan Baciu, 42-56, zona Tractorul, Brașov(B3-4)",76900,1473,0,52.192,0,0,0
Sunnyville Plus – schița apartament cu 2 camere apartament camere de la 78.83m2 - Korter.ro,Sunnyville Plus,"str.Carpatilor, nr 24, Brasov(Bloc 1)",115733,1468,2,78.832,0,0,0
Lior By Casa Nobel – schița apartament cu 2 camere apartament camere de la 53.74m2 - Korter.ro,Lior By Casa Nobel,"str.Nicolae Labiș, 64, zona Tractorul, Brașov(B2)",94000,1749,2,53.742,0,0,0
Uno Brașov – schița apartament cu 2 camere apartament camere de la 61.1m2 - Korter.ro,Uno Brașov,"str.Piatra Arsă, 1, Brașov(Bloc 5)",94143,1541,2,61.12,0,0,0
Valcom Residence Tractorul – schița apartament cu 3 camere apartament camere de la 104.8m2 - Korter.ro,Valcom Residence Tractorul,"str.Іoan Popasu, 23, zona Tractorul, Brașov(Bloc C2)",205000,1956,3,104.82,0,0,0
ONE66 – schița apartament cu 3 camere apartament camere de la 103.75m2 - Korter.ro,ONE66,"str.Mihai Viteazul, 166(Bloc 1)",0,0,3,103.752,0,0,0
ONE66 – schița apartament cu 4 camere apartament camere de la 143.42m2 - Korter.ro,ONE66,"str.Mihai Viteazul, 166(Bloc 1)",0,0,4,143.422,0,0,0
Alphaville Arena – schița apartament cu 2 camere apartament camere de la 71.39m2 - Korter.ro,Alphaville Arena,"str.Stadionului, 16(Bloc 3)",106000,1485,2,71.392,0,0,0
