title,complex,address,price,price_per_mp,rooms,square_footage,floor_no,bathrooms,bedrooms
Vitan Rezidential Apartments 2 – schița apartament cu 2 camere apartament camere de la 67.22m2 - Korter.ro,Vitan Rezidential Apartments 2,"zona Vitan, București(imobil)",119000,1770,2,67.222,0,0,0
Northview Residence Baneasa – schița apartament cu Studio camere de la 40.16m2 - Korter.ro,Northview Residence Baneasa,"str.Nisipoasa, 47-51, Bucuresti(bloc 1)",76304,1900,0,40.162,0,0,0
Sagex Green Lake Residence – schița apartament cu 2 camere apartament camere de la 50.0m2 - Korter.ro,Sagex Green Lake Residence,"Bucuresti-Targoviste 9J, zona Straulesti, Bucuresti(Sagex Green Lake Residence)",83000,1660,2,502,0,0,0
"Vânzare 2 camere apartament pe 57 mp în Pantelimon, Rezidential Pantelimon|Korter.ro","Vânzare 2 camere apartament pe 57 mp în Pantelimon, Rezidential Pantelimon|Korter.ro","str.Independenței, Pantelimon, Ilfov(Bloc 5)",70000,1193,2,572,0,1,1
Gran Via Lake View – schița apartament cu 2 camere apartament camere de la 67.29m2 - Korter.ro,Gran Via Lake View,"str.Fabrica de Gheata, 2B, Bucuresti(GranVia Lake View)",115000,1709,2,67.292,0,0,0
Siena Residenсе – schița apartament cu Garsonieră camere de la 37.38m2 - Korter.ro,Siena Residenсе,"str.Biruinței, 81 - 83, Popești Leordeni, Ilfov(bloc 1)",51800,1386,0,37.382,0,0,0
Cortina 126 – schița apartament cu Studio camere de la 54.38m2 - Korter.ro,Cortina 126,"str.Erou Iancu Nicolae, 126F, Bucuresti(blocul)",125074,2300,0,54.382,0,0,0
City Point – schița apartament cu 2 camere apartament camere de la 45.0m2 - Korter.ro,City Point,"str.Avionului, 52-70, zona Aviatiei, Sector 1, București(Bloc D)",147000,3267,2,452,0,0,0
Crystal North – schița apartament cu 1 camere apartament camere de la 73.39m2 - Korter.ro,Crystal North,"șos.Bucuresti Nord, 14C, Voluntari(Corp A)",109900,1497,1,73.392,0,0,0
Bucuria Residence – schița apartament cu 1 camere apartament camere de la 39.75m2 - Korter.ro,Bucuria Residence,"Drumul Postalionului, 93-95, zona Brancoveanu, Sector 4, București(Corp A)",48500,1220,1,39.752,0,0,0
Empire Residence Tornadei – schița apartament cu 2 camere apartament camere de la 61.25m2 - Korter.ro,Empire Residence Tornadei,"Aleea Tornadei, 4-10, București(blocul)",81667,1333,2,61.252,0,0,0
IN Rezidential 2 Militari – schița apartament cu 1 camere apartament camere de la 37.6m2 - Korter.ro,IN Rezidential 2 Militari,"str.Iiliu Maniu, Nr.405, Sector 6, Bucuresti(Bloc 1)",45500,1210,1,37.62,0,0,0
NEST By The Lake – schița apartament cu 2 camere apartament camere de la 67.92m2 - Korter.ro,NEST By The Lake,"șos.Dobroiești, 84C, Dobroesti(Faza 1)",0,0,2,67.922,0,0,0
Eminescu 65 Residence – schița apartament cu 2 camere apartament camere de la 61.75m2 - Korter.ro,Eminescu 65 Residence,"str.Eminescu, 65, Bucureşti(Eminescu 65)",183000,2964,2,61.752,0,0,0
Estoria City Residence – schița apartament cu 1 camere apartament camere de la 44.76m2 - Korter.ro,Estoria City Residence,"str.Victor Brauner, 30(bloc 2 scara b)",66900,1495,1,44.762,0,0,0
City Point – schița apartament cu 3 camere apartament camere de la 71.0m2 - Korter.ro,City Point,"str.Avionului, 52-70, zona Aviatiei, Sector 1, București(Bloc D)",183000,2577,3,712,0,0,0
Lac Străuleşti Condominium – schița apartament cu Studio camere de la 43.67m2 - Korter.ro,Lac Străuleşti Condominium,"str.drumul Sărmaș, 13, București(Bloc 2)",93500,2141,0,43.672,0,0,0
Onix Park North Residence – schița apartament cu 2 camere apartament camere de la 71.0m2 - Korter.ro,Onix Park North Residence,"str.Campul Pipera, zona Baneasa, Sector 1(Bloc C)",95000,1338,2,712,0,0,0
Odei Towers – schița apartament cu Garsonieră camere de la 39.05m2 - Korter.ro,Odei Towers,"str.Odei, 76, sector 4, zona Berceni, Bucuresti(Bloc B)",52500,1344,0,39.052,0,0,0
My Place Residence – schița apartament cu 2 camere apartament camere de la 80.3m2 - Korter.ro,My Place Residence,"bd.Pipera, 1-VIII A, zona Voluntari, București(My PlaceResidence)",0,0,2,80.32,0,0,0
Uplake Residence – schița apartament cu 2 camere apartament camere de la 72.0m2 - Korter.ro,Uplake Residence,"Strada Păcii NR26, Chitila(Corp C)",100000,1389,2,722,0,0,0
Expo Home – schița apartament cu 3 camere apartament camere de la 87.0m2 - Korter.ro,Expo Home,"str.Bulevardul Expozitiei, 24A",208800,2400,3,872,0,0,0
H4l Millennium – schița apartament cu 1 camere apartament camere de la 55.21m2 - Korter.ro,H4l Millennium,"șos.Pipera-Tunari, 2, zona Pipera, Voluntari, Ilfov(Bloc 1)",0,0,1,55.212,0,0,0
H4l Holban – schița apartament cu 2 camere apartament camere de la 72.07m2 - Korter.ro,H4l Holban,str.Ștefan Holban nr 38 B(Bloc 2),87000,1207,2,72.072,0,0,0
Macro Nord Residence – schița apartament cu 2 camere apartament camere de la 73.0m2 - Korter.ro,Macro Nord Residence,"șos.Bucuresti-Targoviste, 38C, Bucuresti(scara A)",88000,1205,2,732,0,0,0
Heliade12 – schița apartament cu Studio camere de la 37.37m2 - Korter.ro,Heliade12,"str.Ion Heliade Rădulescu, 12-14",83000,2221,66,37.372,0,0,0
NorthSide Park Tower – schița apartament cu 2 camere apartament camere de la 56.29m2 - Korter.ro,NorthSide Park Tower,"șos.Gheorghe Ionescu Sisești, 467, București(NorthSide Park - Tower)",87800,1560,2,56.292,0,0,0
Grand AV 133 – schița apartament cu 2 camere apartament camere de la 74.29m2 - Korter.ro,Grand AV 133,"str.Aurel Vlaicu 133, Sector 2, zona Central, Bucuresti(scara A)",285000,3836,2,74.292,0,0,0
Expo Home – schița apartament cu 2 camere apartament camere de la 58.0m2 - Korter.ro,Expo Home,"str.Bulevardul Expozitiei, 24A",145000,2500,2,582,0,0,0
Sweet Green Residence – schița apartament cu 2 camere apartament camere de la 41.89m2 - Korter.ro,Sweet Green Residence,"șos.Viilor, 15, sector 5, Bucuresti(blocul)",80000,1910,2,41.892,0,0,0
Novum Viilor – schița apartament cu Garsonieră camere de la 56.28m2 - Korter.ro,Novum Viilor,"str.Inclinata, 12(Bloc 1)",71900,1278,0,56.282,0,0,0
Virgiliu 21-23 – schița apartament cu 2 camere apartament camere de la 83.1m2 - Korter.ro,Virgiliu 21-23,"str.Virgiliu, 21-23, București(imobil)",215000,2587,2,83.12,0,0,0
Herăstrău Boutique – schița apartament cu 2 camere apartament camere de la 46.0m2 - Korter.ro,Herăstrău Boutique,"str.Promoroacă, 6, București(Herăstrău Boutique)",119500,2598,2,462,0,0,0
My Place North – schița apartament cu Studio camere de la 51.5m2 - Korter.ro,My Place North,"Șoseaua București-Nord, 14, Ilfov(bloc 1)",71585,1390,0,51.52,0,0,0
Studio Plus Ideal Metalurgiei Park – schița apartament cu 1 camere apartament camere de la 38.45m2 - Korter.ro,Studio Plus Ideal Metalurgiei Park,"str.Drumul Binelui, 33(Bloc A)",50000,1300,1,38.452,0,0,0
Novum Păcii – schița apartament cu Garsonieră camere de la 57.19m2 - Korter.ro,Novum Păcii,"str.Piscul Crăsani, 15(NOVUM Păcii)",62900,1100,0,57.192,0,0,0
Ghica Apartments – schița apartament cu 1 camere apartament camere de la 35.75m2 - Korter.ro,Ghica Apartments,"str.Grozdea, 10A, zona Baicului, sector 2, București(Ghica Apartments)",43700,1222,1,35.752,0,0,0
Teilor Parc Titan – schița apartament cu 2 camere apartament camere de la 64.83m2 - Korter.ro,Teilor Parc Titan,"str.Postasului, zona Titan, sector 3, Bucuresti(Teilor Parc)",74879,1155,2,64.832,0,0,0
Street 5 Carol Park – schița apartament cu 1 camere apartament camere de la 36.0m2 - Korter.ro,Street 5 Carol Park,"str.Mitropolit Grigore, 61, zona Parcul Carol, sector 3, București(Street 5 Carol Park)",73001,2028,1,362,0,0,0
Virgiliu 21-23 – schița apartament cu 2 camere apartament camere de la 89.7m2 - Korter.ro,Virgiliu 21-23,"str.Virgiliu, 21-23, București(imobil)",215000,2397,2,89.72,0,0,0
Novum Viilor – schița apartament cu Garsonieră camere de la 60.76m2 - Korter.ro,Novum Viilor,"str.Inclinata, 12(Bloc 2)",76900,1266,0,60.762,0,0,0
UP-SITE – schița apartament cu 2 camere apartament camere de la 57.0m2 - Korter.ro,UP-SITE,"str.Calea Floreasca 167B, zona Aviatiei(Tower 2)",281100,4932,2,572,0,0,0
La Gloire Belle Tour – schița apartament cu 2 camere apartament camere de la 80.19m2 - Korter.ro,La Gloire Belle Tour,"str.Calea 13 Septembrie, 233A, zona 13 Septembrie, Bucuresti(imobil)",116500,1453,2,80.192,0,0,0
MTM Residence – schița apartament cu 3 camere apartament camere de la 93.78m2 - Korter.ro,MTM Residence,"Bulevardul Pipera 1D, Voluntari(bloc 4)",0,0,3,93.782,0,0,0
Panorama City – schița apartament cu 2 camere apartament camere de la 43.0m2 - Korter.ro,Panorama City,"Drumul Ciorogarla, 291-295(Bloc 3)",60000,1395,2,432,0,0,0
Rosetti Luxury – schița apartament cu 2 camere apartament camere de la 52.22m2 - Korter.ro,Rosetti Luxury,"str.Popa Petre, 27, Sector 2, zona Centrală, București(Bloc 1)",135000,2585,2,52.222,0,0,0
Romco Rezidential Gura Calitei 100 – schița apartament cu 2 camere apartament camere de la 113.2m2 - Korter.ro,Romco Rezidential Gura Calitei 100,"str.Drumul Gura Calitei, 100, București(Cladire 4)",124900,1103,2,113.22,0,0,0
AME Residence 2 – schița apartament cu 2 camere apartament camere de la 42.65m2 - Korter.ro,AME Residence 2,"str.Drumul Cretestilor 82-86, zona Aparatorii Patriei, Bucuresti(blocul)",0,0,2,42.652,0,0,0
La Gloire Belle Tour – schița apartament cu 2 camere apartament camere de la 80.18m2 - Korter.ro,La Gloire Belle Tour,"str.Calea 13 Septembrie, 233A, zona 13 Septembrie, Bucuresti(imobil)",116500,1453,2,80.182,0,0,0
New Ilioara Residence – schița apartament cu 2 camere apartament camere de la 79.14m2 - Korter.ro,New Ilioara Residence,"str.Ilioara nr.28, Bucuresti(blocul)",108000,1365,2,79.142,0,0,0
Roka Residence Doamna Ghica – schița apartament cu 2 camere apartament camere de la 50.31m2 - Korter.ro,Roka Residence Doamna Ghica,"str.Cremenita 98-100, Bucuresti(bloc 1)",79700,1584,2,50.312,0,0,0
Aristos Residence – schița apartament cu Garsonieră camere de la 49.68m2 - Korter.ro,Aristos Residence,"șos.București - Măgurele, Rahova(bloc 1)",40900,823,0,49.682,0,0,0
Panorama City – schița apartament cu 1 camere apartament camere de la 38.0m2 - Korter.ro,Panorama City,"Drumul Ciorogarla, 291-295, zona Militari, Sector 6, București",54000,1421,1,382,0,0,0
North Avenue – schița apartament cu 2 camere apartament camere de la 80.69m2 - Korter.ro,North Avenue,"șos.Bucureşti Nord 10D, zona Pipera, Bucuresti(bloc A)",0,0,2,80.692,0,0,0
Sun Rebreanu – schița apartament cu 1 camere apartament camere de la 33.35m2 - Korter.ro,Sun Rebreanu,"Iosif Albu 81C, zona Titan, Bucuresti(blocul)",41688,1250,1,33.352,0,0,0
Quartier Azuga – schița apartament cu 2 camere apartament camere de la 59.49m2 - Korter.ro,Quartier Azuga,"str.Azuga 32, București(Bloc A)",103800,1745,2,59.492,0,0,0
Marca Herastrau Residence﻿ – schița apartament cu 2 camere apartament camere de la 119.97m2 - Korter.ro,Marca Herastrau Residence﻿,"Intrarea Solzilor, 14-16, București(Corp A)",199218,1661,2,119.972,0,0,0
Mosaic Residence Bucuresti – schița apartament cu 2 camere apartament camere de la 52.0m2 - Korter.ro,Mosaic Residence Bucuresti,"str.Cedrilor 6-8, Bucuresti(cladire)",140000,2692,2,522,0,0,0
Urban Address 12-14 – schița apartament cu 1 camere apartament camere de la 40.67m2 - Korter.ro,Urban Address 12-14,"str.Ion Heliade Radulescu, 12-14(Urban Address 12-14)",0,0,1,40.672,0,0,0
Sun Rebreanu – schița apartament cu 1 camere apartament camere de la 34.87m2 - Korter.ro,Sun Rebreanu,"Iosif Albu 81C, zona Titan, Bucuresti(blocul)",43588,1250,1,34.872,0,0,0
Bellemonde – schița apartament cu Studio camere de la 54.8m2 - Korter.ro,Bellemonde,"Str.Vasile Alecsandri, Pipera, Ilfov",0,0,0,54.82,0,0,0
Marca Herastrau Residence﻿ – schița apartament cu 2 camere apartament camere de la 109.42m2 - Korter.ro,Marca Herastrau Residence﻿,"Intrarea Solzilor, 14-16, București(Corp A)",199218,1821,2,109.422,0,0,0
First Estates Pipera – schița apartament cu Studio camere de la 51.48m2 - Korter.ro,First Estates Pipera,"sos.Bucuresti Nord, 14D, zona Pipera, Bucureşti(bloc 2)",110000,2137,0,51.482,0,0,0
Nusco City – schița apartament cu 2 camere apartament camere de la 68.0m2 - Korter.ro,Nusco City,"șos.Pipera, 48, București(Bloc 3)",132000,1941,2,682,0,0,0
