title,complex,address,price,price_per_mp,rooms,square_footage,floor_no,bathrooms,bedrooms
West City Tower – schița apartament cu 1 camere apartament camere de la 50.9m2 - Korter.ro,West City Tower,"str.Calea Florești, 139, Cluj-Napoca(West City Tower)",120000,2358,1,50.92,0,0,0
Sky Boulevard – schița apartament cu 2 camere apartament camere de la 54.55m2 - Korter.ro,Sky Boulevard,"str.Bulevardul Muncii, 69A, Cluj-Napoca(blocul)",117283,2150,2,54.552,0,0,0
West City Tower – schița apartament cu 1 camere apartament camere de la 50.9m2 - Korter.ro,West City Tower,"str.Calea Florești, 139, Cluj-Napoca(West City Tower)",0,0,1,50.92,0,0,0
Zenia – schița apartament cu 3 camere apartament camere de la 72.57m2 - Korter.ro,Zenia,"str.Tasnad, 9, zona Plopilor, Cluj-Napoca(scara 2)",190500,2625,3,72.572,0,0,0
West City Tower – schița apartament cu 1 camere apartament camere de la 53.84m2 - Korter.ro,West City Tower,"str.Calea Florești, 139, Cluj-Napoca(West City Tower)",0,0,1,53.842,0,0,0
Dunarii Park Apartments – schița apartament cu 2 camere apartament camere de la 55.53m2 - Korter.ro,Dunarii Park Apartments,"str.Dunarii, zona Între Lacuri, Cluj-Napoca(Dunarii Park)",0,0,2,55.532,0,0,0
Dunarii Park Apartments – schița apartament cu 2 camere apartament camere de la 53.91m2 - Korter.ro,Dunarii Park Apartments,"str.Dunarii, zona Între Lacuri, Cluj-Napoca(Dunarii Park)",102025,1893,2,53.912,0,0,0
M-Avenue – schița apartament cu 2 camere apartament camere de la 58.4m2 - Korter.ro,M-Avenue,"str.Teodor Mihali,45-51,zona Între Lacuri,Cluj-Napoca(M-Avenue)",0,0,2,58.42,0,0,0
Sky Boulevard – schița apartament cu 2 camere apartament camere de la 86.3m2 - Korter.ro,Sky Boulevard,"str.Bulevardul Muncii, 69A, Cluj-Napoca(blocul)",185545,2150,2,86.32,0,0,0
Wings – schița apartament cu 2 camere apartament camere de la 51.0m2 - Korter.ro,Wings,"str.Frunzisului, 88A, Cluj-Napoca(Corp 1)",96900,1900,2,512,0,0,0
West City Tower – schița apartament cu 2 camere apartament camere de la 60.93m2 - Korter.ro,West City Tower,"str.Calea Florești, 139, Cluj-Napoca(West City Tower)",0,0,2,60.932,0,0,0
Baciu Hills – schița apartament cu 3 camere apartament camere de la 57.86m2 - Korter.ro,Baciu Hills,"str.Galaxiei, 9, Cluj-Napoca(Bloc 1)",0,0,3,57.862,0,0,0
Sky Boulevard – schița apartament cu 2 camere apartament camere de la 66.99m2 - Korter.ro,Sky Boulevard,"str.Bulevardul Muncii, 69A, Cluj-Napoca(blocul)",144029,2150,2,66.992,0,0,0
M-Avenue – schița apartament cu 3 camere apartament camere de la 80.46m2 - Korter.ro,M-Avenue,"str.Teodor Mihali,45-51,zona Între Lacuri,Cluj-Napoca(M-Avenue)",0,0,3,80.462,0,0,0
Rhodium Residence Dorobantilor – schița apartament cu 1 camere apartament camere de la 56.0m2 - Korter.ro,Rhodium Residence Dorobantilor,"str.Dorobantilor, 111, Cluj-Napoca(bloc)",132000,2357,1,562,0,0,0
West City Tower – schița apartament cu 1 camere apartament camere de la 51.23m2 - Korter.ro,West City Tower,"str.Calea Florești, 139, Cluj-Napoca(West City Tower)",0,0,1,51.232,0,0,0
West City Tower – schița apartament cu 1 camere apartament camere de la 51.36m2 - Korter.ro,West City Tower,"str.Calea Florești, 139, Cluj-Napoca(West City Tower)",0,0,1,51.362,0,0,0
West City Tower – schița apartament cu 2 camere apartament camere de la 87.9m2 - Korter.ro,West City Tower,"str.Calea Florești, 139, Cluj-Napoca(West City Tower)",0,0,2,87.92,0,0,0
Avella – schița apartament cu 3 camere apartament camere de la 104.0m2 - Korter.ro,Avella,"str.21 decembrie 1989, Cluj -Napoca(Scara 2)",0,0,3,1042,0,0,0
Dunarii Park Apartments – schița apartament cu 2 camere apartament camere de la 60.22m2 - Korter.ro,Dunarii Park Apartments,"str.Dunarii, zona Între Lacuri, Cluj-Napoca(Dunarii Park)",0,0,2,60.222,0,0,0
Sky Boulevard – schița apartament cu 2 camere apartament camere de la 67.94m2 - Korter.ro,Sky Boulevard,"str.Bulevardul Muncii, 69A, Cluj-Napoca(blocul)",0,0,2,67.942,0,0,0
Sky Boulevard – schița apartament cu 3 camere apartament camere de la 81.01m2 - Korter.ro,Sky Boulevard,"str.Bulevardul Muncii, 69A, Cluj-Napoca(blocul)",0,0,3,81.012,0,0,0
Dunarii Park Apartments – schița apartament cu 2 camere apartament camere de la 53.88m2 - Korter.ro,Dunarii Park Apartments,"str.Dunarii, zona Între Lacuri, Cluj-Napoca(Dunarii Park)",0,0,2,53.882,0,0,0
Rhodium Residence Dorobantilor – schița apartament cu 2 camere apartament camere de la 85.0m2 - Korter.ro,Rhodium Residence Dorobantilor,"str.Dorobantilor, 111, Cluj-Napoca(bloc)",177000,2082,2,852,0,0,0
Imobil Parc Rozelor – schița apartament cu 2 camere apartament camere de la 75.0m2 - Korter.ro,Imobil Parc Rozelor,"str.Plopilor, 22, Cluj-Napoca(bloc)",185000,2467,2,752,0,0,0
Rhodium Residence Dorobantilor – schița apartament cu 1 camere apartament camere de la 56.0m2 - Korter.ro,Rhodium Residence Dorobantilor,"str.Dorobantilor, 111, Cluj-Napoca(bloc)",121000,2161,1,562,0,0,0
