title,link,floor,area,bedrooms,terrace,parking,price,price_with_vat,availability,project,phase,building_floors,building_type,energy_class,building_structure,building_status,completion_date,sector,neighborhood
Apartament cu 2 camere de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/apartament-2-camere-one-lake-district-sks3164/,Etaj 9 din 12,"62,30 m²",1 dormitor,"15,09 m²",1,126.000 € + TVA,149.940 €,Vânzare,One Lake District,One Lake District II,12,mixt,A,beton,în curs de construire,2026,Sector 2,N/A
Apartament cu 2 camere de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/apartament-2-camere-one-lake-district-sks3163/,Etaj 9 din 12,"59,10 m²",1 dormitor,"11,55 m²",1,124.000 € + TVA,147.560 €,Vânzare,One Lake District,One Lake District II,12,mixt,A,beton,în curs de construire,2026,Sector 2,N/A
Apartament cu 2 camere de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/apartament-2-camere-one-lake-district-sks3162/,Etaj 9 din 12,"59,10 m²",1 dormitor,"11,50 m²",1,124.000 € + TVA,147.560 €,Vânzare,One Lake District,One Lake District II,12,mixt,A,beton,în curs de construire,2026,Sector 2,N/A
Apartament cu 2 camere de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/apartament-2-camere-one-lake-district-sks3161/,Etaj 9 din 12,"62,30 m²",1 dormitor,"15,08 m²",1,125.200 € + TVA,148.988 €,Vânzare,One Lake District,One Lake District II,12,mixt,A,beton,în curs de construire,2026,Sector 2,N/A
Apartament cu 2 camere de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/apartament-2-camere-one-lake-district-sks3160/,Etaj 9 din 12,"82,30 m²",1 dormitor,"48,00 m²",1,169.900 € + TVA,202.181 €,Vânzare,One Lake District,One Lake District II,12,mixt,A,beton,în curs de construire,2026,Sector 2,N/A
Apartament cu 4 camere de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/apartament-4-camere-one-lake-district-sks3159/,Etaj 9 din 12,"128,40 m²",3 dormitoare,"46,73 m²",2e,286.400 € + TVA,340.816 €,Vânzare,One Lake District,One Lake District II,12,mixt,A,beton,în curs de construire,2026,Sector 2,N/A
Apartament cu 3 camere de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/apartament-3-camere-one-lake-district-sks3158/,Etaj 9 din 12,"88,50 m²",2 dormitoare,"19,16 m²",1,196.000 € + TVA,233.240 €,Vânzare,One Lake District,One Lake District II,12,mixt,A,beton,în curs de construire,2026,Sector 2,N/A
Apartament cu 3 camere de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/apartament-3-camere-one-lake-district-sks3157/,Etaj 9 din 12,"90,60 m²",2 dormitoare,"19,11 m²",1,198.700 € + TVA,236.453 €,Vânzare,One Lake District,One Lake District II,12,mixt,A,beton,în curs de construire,2026,Sector 2,N/A
Apartament cu 2 camere de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/apartament-2-camere-one-lake-district-sks3156/,Etaj 9 din 12,"63,10 m²",1 dormitor,"15,08 m²",1,139.500 € + TVA,166.005 €,Vânzare,One Lake District,One Lake District II,12,mixt,A,beton,în curs de construire,2026,Sector 2,N/A
Apartament cu 2 camere de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/apartament-2-camere-one-lake-district-sks3155/,Etaj 9 din 12,"69,60 m²",1 dormitor,"14,76 m²",1,154.800 € + TVA,184.212 €,Vânzare,One Lake District,One Lake District II,12,mixt,A,beton,în curs de construire,2026,Sector 2,N/A
