title,link,floor,area,bedrooms,terrace,parking,price,price_with_vat,availability,project,phase,building_floors,building_type,energy_class,building_structure,building_status,completion_date,sector,neighborhood
Apartament cu 4 camere de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/apartament-4-camere-one-lake-district-sks3224/,Etaj 2 din 12,"136,00 m²",3 dormitoare,"46,51 m²",2e,279.000 € + TVA,332.010 €,Vânzare,One Lake District,One Lake District II,12,mixt,A,beton,în curs de construire,2026,Sector 2,N/A
Apartament cu 3 camere de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/apartament-3-camere-one-lake-district-sks3198/,Parter din 12,"101,30 m²",2 dormitoare,"55,80 m²",1,199.000 € + TVA,236.810 €,Vânzare,One Lake District,One Lake District II,12,mixt,A,beton,în curs de construire,2026,Sector 2,N/A
Apartament cu 2 camere de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/apartament-2-camere-one-lake-district-sks3197/,Parter din 12,"62,60 m²",1 dormitor,"39,00 m²",1,160.000 € + TVA,190.400 €,Vânzare,One Lake District,One Lake District II,12,mixt,A,beton,în curs de construire,2026,Sector 2,N/A
Apartament cu 2 camere de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/apartament-2-camere-one-lake-district-sks3196/,Parter din 12,"60,20 m²",1 dormitor,"22,10 m²",1,160.000 € + TVA,190.400 €,Vânzare,One Lake District,One Lake District II,12,mixt,A,beton,în curs de construire,2026,Sector 2,N/A
Garsonieră de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/garsoniera-one-lake-district-sks3195/,Parter din 12,"44,60 m²",N/A,"8,10 m²",1,99.000 € + TVA,107.910 €,Vânzare,One Lake District,One Lake District II,12,mixt,A,beton,în curs de construire,2026,Sector 2,N/A
Apartament cu 2 camere de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/apartament-2-camere-one-lake-district-sks3194/,Parter din 12,"62,60 m²",1 dormitor,"39,00 m²",1,160.000 € + TVA,190.400 €,Vânzare,One Lake District,One Lake District II,12,mixt,A,beton,în curs de construire,2026,Sector 2,N/A
Apartament cu 4 camere de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/apartament-4-camere-one-lake-district-sks3192/,Parter din 12,"129,10 m²",3 dormitoare,"111,90 m²",2e,300.000 € + TVA,357.000 €,Vânzare,One Lake District,One Lake District II,12,mixt,A,beton,în curs de construire,2026,Sector 2,N/A
Apartament cu 2 camere de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/apartament-2-camere-one-lake-district-sks3191/,Parter din 12,"88,80 m²",1 dormitor,"41,90 m²",1,189.000 € + TVA,224.910 €,Vânzare,One Lake District,One Lake District II,12,mixt,A,beton,în curs de construire,2026,Sector 2,N/A
Apartament cu 3 camere de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/apartament-3-camere-one-lake-district-sks3190/,Parter din 12,"90,90 m²",2 dormitoare,"41,90 m²",1,210.000 € + TVA,249.900 €,Vânzare,One Lake District,One Lake District II,12,mixt,A,beton,în curs de construire,2026,Sector 2,N/A
Apartament cu 2 camere de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/apartament-2-camere-one-lake-district-sks3189/,Parter din 12,"63,40 m²",1 dormitor,"39,00 m²",1,160.000 € + TVA,190.400 €,Vânzare,One Lake District,One Lake District II,12,mixt,A,beton,în curs de construire,2026,Sector 2,N/A
Apartament cu 3 camere de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/apartament-3-camere-one-lake-district-sks3188/,Parter din 12,"91,70 m²",2 dormitoare,"124,50 m²",1,240.000 € + TVA,285.600 €,Vânzare,One Lake District,One Lake District II,12,mixt,A,beton,în curs de construire,2026,Sector 2,N/A
Apartament cu 2 camere de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/apartament-2-camere-one-lake-district-sks3187/,Etaj 10 din 12,"71,50 m²",1 dormitor,"16,64 m²",1,156.900 € + TVA,186.711 €,Vânzare,One Lake District,One Lake District II,12,mixt,A,beton,în curs de construire,2026,Sector 2,N/A
Apartament cu 2 camere de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/apartament-2-camere-one-lake-district-sks3318/,Etaj 8 din 12,"70,60 m²",1 dormitor,"16,61 m²",1,140.000 € + TVA,166.600 €,Vânzare,One Lake District,One Lake District II,12,mixt,A,beton,în curs de construire,2026,Sector 2,N/A
Apartament cu 2 camere de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/apartament-2-camere-one-lake-district-sks3317/,Etaj 7 din 12,"71,00 m²",1 dormitor,"16,68 m²",1,139.200 € + TVA,165.648 €,Vânzare,One Lake District,One Lake District II,12,mixt,A,beton,în curs de construire,2026,Sector 2,N/A
Apartament cu 2 camere de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/apartament-2-camere-one-lake-district-sks3316/,Etaj 7 din 12,"62,90 m²",1 dormitor,"14,85 m²",1,132.700 € + TVA,157.913 €,Vânzare,One Lake District,One Lake District II,12,mixt,A,beton,în curs de construire,2026,Sector 2,N/A
Apartament cu 2 camere de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/apartament-2-camere-one-lake-district-sks3315/,Etaj 7 din 12,"62,00 m²",1 dormitor,"14,70 m²",1,132.700 € + TVA,157.913 €,Vânzare,One Lake District,One Lake District II,12,mixt,A,beton,în curs de construire,2026,Sector 2,N/A
